=============================| Attention |===============================
  This is a prototype version only and not allowed for productive usage.
  Siemens takes no liability for damages or injuries that might result
  in improper usage.
  Please keep this prototype and all information about it confidential.
=========================================================================

*Supported Devices:
**Unknown 
 AI 8xU/I HF || OrderNumber: 6ES7 531-7NF00-0AB0 || FwVersion: V1.2
 AQ 8xU/I HS || OrderNumber: 6ES7 532-5HF00-0AB0 || FwVersion: V2.2

**Plc 
 CPU 1511-1 PN || OrderNumber: 6ES7 511-1AL03-0AB0 || FwVersion: V3.0
 CPU 1511-1 PN || OrderNumber: 6ES7 511-1AL03-0AB0 || FwVersion: V3.1
 CPU 1513-1 PN || OrderNumber: 6ES7 513-1AM03-0AB0 || FwVersion: V3.0
 CPU 1513-1 PN || OrderNumber: 6ES7 513-1AM03-0AB0 || FwVersion: V3.1
 CPU 1515-2 PN || OrderNumber: 6ES7 515-2AN03-0AB0 || FwVersion: V3.0
 CPU 1515-2 PN || OrderNumber: 6ES7 515-2AN03-0AB0 || FwVersion: V3.1
 CPU 1516-3 PN/DP || OrderNumber: 6ES7 516-3AN01-0AB0 || FwVersion: V2.9
 CPU 1516-3 PN/DP || OrderNumber: 6ES7 516-3AP03-0AB0 || FwVersion: V3.0
 CPU 1516-3 PN/DP || OrderNumber: 6ES7 516-3AP03-0AB0 || FwVersion: V3.1
 CPU 1517-3 PN/DP || OrderNumber: 6ES7 517-3AP00-0AB0 || FwVersion: V3.0
 CPU 1517-3 PN/DP || OrderNumber: 6ES7 517-3AP00-0AB0 || FwVersion: V3.1
 CPU 1517V-1 PN  || OrderNumber: 6ES7 587-1AP00-0AB0 || FwVersion: V3.1
 CPU 1518-4 PN/DP || OrderNumber: 6ES7 518-4AP00-0AB0 || FwVersion: V2.9
 CPU 1518-4 PN/DP || OrderNumber: 6ES7 518-4AP00-0AB0 || FwVersion: V3.0
 CPU 1518-4 PN/DP || OrderNumber: 6ES7 518-4AP00-0AB0 || FwVersion: V3.1

**Head 
 IM 155-6 MF HF V5.0 || GsdFileName: GSDML-V2.42-SIEMENS-ET200SP-20230812.XML || OrderNumber: 6ES7 155-6MU00-0CN0 || GsdId: IM 155-6 MF HF V5.0	
 SCALANCE X204-2TS V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BB10-2CA2 || GsdId: DAP 61	
 SCALANCE X204-2TS V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BB10-2CA2 || GsdId: DAP 79	
 SCALANCE X204-2TS V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BB10-2CA2 || GsdId: DAP 91	
 SCALANCE X204-2TS V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BB10-2CA2 || GsdId: DAP A2	
 SCALANCE X204-2TS V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BB10-2CA2 || GsdId: DAP B3	
 SCALANCE X204IRT PRO V3.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0JA00-2BA6 || GsdId: DAP 20	
 SCALANCE X204IRT PRO V4.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0JA00-2BA6 || GsdId: DAP 26	
 SCALANCE X204IRT PRO V4.3 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0JA00-2BA6 || GsdId: DAP 48	
 SCALANCE X204IRT PRO V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0JA00-2BA6 || GsdId: DAP 57	
 SCALANCE X204IRT PRO V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0JA00-2BA6 || GsdId: DAP 74	
 SCALANCE X204IRT PRO V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0JA00-2BA6 || GsdId: DAP 8C	
 SCALANCE X204IRT PRO V5.3 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0JA00-2BA6 || GsdId: DAP C8	
 SCALANCE X204IRT PRO V5.4 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0JA00-2BA6 || GsdId: DAP D1	
 SCALANCE X204IRT V2.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BA3 || GsdId: DAP 9	
 SCALANCE X204IRT V3.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BA3 || GsdId: DAP 14	
 SCALANCE X204IRT V4.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BA3 || GsdId: DAP 24	
 SCALANCE X204IRT V4.3 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BA3 || GsdId: DAP 46	
 SCALANCE X204IRT V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BA3 || GsdId: DAP 55	
 SCALANCE X204IRT V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BA3 || GsdId: DAP 73	
 SCALANCE X204IRT V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BA3 || GsdId: DAP 8B	
 SCALANCE X204IRT V5.3 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BA3 || GsdId: DAP C7	
 SCALANCE X204IRT V5.4 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BA3 || GsdId: DAP D0	
 SCALANCE X206-1 V2.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BB10-2AA3 || GsdId: DAP 10	
 SCALANCE X206-1 V4.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BB10-2AA3 || GsdId: DAP 31	
 SCALANCE X206-1 V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BB10-2AA3 || GsdId: DAP 3F	
 SCALANCE X206-1 V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BB10-2AA3 || GsdId: DAP 62	
 SCALANCE X206-1 V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BB10-2AA3 || GsdId: DAP 7A	
 SCALANCE X206-1 V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BB10-2AA3 || GsdId: DAP 92	
 SCALANCE X206-1 V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BB10-2AA3 || GsdId: DAP A3	
 SCALANCE X206-1 V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BB10-2AA3 || GsdId: DAP B4	
 SCALANCE X206-1LD V2.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC10-2AA3 || GsdId: DAP 11	
 SCALANCE X206-1LD V4.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC10-2AA3 || GsdId: DAP 30	
 SCALANCE X206-1LD V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC10-2AA3 || GsdId: DAP 3E	
 SCALANCE X206-1LD V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC10-2AA3 || GsdId: DAP 63	
 SCALANCE X206-1LD V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC10-2AA3 || GsdId: DAP 7B	
 SCALANCE X206-1LD V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC10-2AA3 || GsdId: DAP 93	
 SCALANCE X206-1LD V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC10-2AA3 || GsdId: DAP A4	
 SCALANCE X206-1LD V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC10-2AA3 || GsdId: DAP B5	
 SCALANCE X208 PRO V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0HA10-2AA6 || GsdId: DAP 76	
 SCALANCE X208 V2.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA10-2AA3 || GsdId: DAP E	
 SCALANCE X208 V4.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA10-2AA3 || GsdId: DAP 2F	
 SCALANCE X208 V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA10-2AA3 || GsdId: DAP 3D	
 SCALANCE X208 V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA10-2AA3 || GsdId: DAP 64	
 SCALANCE X208 V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA10-2AA3 || GsdId: DAP 7C	
 SCALANCE X208 V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA10-2AA3 || GsdId: DAP 94	
 SCALANCE X208 V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA10-2AA3 || GsdId: DAP A5	
 SCALANCE X208 V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA10-2AA3 || GsdId: DAP B6	
 SCALANCE X208PRO V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0HA10-2AA6 || GsdId: DAP 5E	
 SCALANCE X208PRO V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0HA10-2AA6 || GsdId: DAP 8E	
 SCALANCE X208PRO V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0HA10-2AA6 || GsdId: DAP 9F	
 SCALANCE X208PRO V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0HA10-2AA6 || GsdId: DAP B0	
 SCALANCE X212-2 V2.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BB00-2AA3 || GsdId: DAP 19	
 SCALANCE X212-2 V4.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BB00-2AA3 || GsdId: DAP 2E	
 SCALANCE X212-2 V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BB00-2AA3 || GsdId: DAP 3C	
 SCALANCE X212-2 V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BB00-2AA3 || GsdId: DAP 65	
 SCALANCE X212-2 V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BB00-2AA3 || GsdId: DAP 7D	
 SCALANCE X212-2 V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BB00-2AA3 || GsdId: DAP 95	
 SCALANCE X212-2 V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BB00-2AA3 || GsdId: DAP A6	
 SCALANCE X212-2 V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BB00-2AA3 || GsdId: DAP B7	
 SCALANCE X212-2LD V2.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BC00-2AA3 || GsdId: DAP 1A	
 SCALANCE X212-2LD V4.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BC00-2AA3 || GsdId: DAP 2D	
 SCALANCE X212-2LD V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BC00-2AA3 || GsdId: DAP 3B	
 SCALANCE X212-2LD V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BC00-2AA3 || GsdId: DAP 66	
 SCALANCE X212-2LD V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BC00-2AA3 || GsdId: DAP 7E	
 SCALANCE X212-2LD V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BC00-2AA3 || GsdId: DAP 96	
 SCALANCE X212-2LD V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BC00-2AA3 || GsdId: DAP A7	
 SCALANCE X212-2LD V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 212-2BC00-2AA3 || GsdId: DAP B8	
 SCALANCE X216 V2.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 216-0BA00-2AA3 || GsdId: DAP 1B	
 SCALANCE X216 V4.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 216-0BA00-2AA3 || GsdId: DAP 2C	
 SCALANCE X216 V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 216-0BA00-2AA3 || GsdId: DAP 3A	
 SCALANCE X216 V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 216-0BA00-2AA3 || GsdId: DAP 67	
 SCALANCE X216 V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 216-0BA00-2AA3 || GsdId: DAP 7F	
 SCALANCE X216 V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 216-0BA00-2AA3 || GsdId: DAP 97	
 SCALANCE X216 V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 216-0BA00-2AA3 || GsdId: DAP A8	
 SCALANCE X216 V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 216-0BA00-2AA3 || GsdId: DAP B9	
 SCALANCE X224 V2.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 224-0BA00-2AA3 || GsdId: DAP 1C	
 SCALANCE X224 V4.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 224-0BA00-2AA3 || GsdId: DAP 2B	
 SCALANCE X224 V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 224-0BA00-2AA3 || GsdId: DAP 39	
 SCALANCE X224 V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 224-0BA00-2AA3 || GsdId: DAP 68	
 SCALANCE X224 V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 224-0BA00-2AA3 || GsdId: DAP 80	
 SCALANCE X224 V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 224-0BA00-2AA3 || GsdId: DAP 98	
 SCALANCE X224 V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 224-0BA00-2AA3 || GsdId: DAP A9	
 SCALANCE X224 V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 224-0BA00-2AA3 || GsdId: DAP BA	
 SCALANCE XF204 V4.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2AF2 || GsdId: DAP 38	
 SCALANCE XF204 V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2AF2 || GsdId: DAP 45	
 SCALANCE XF204 V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2AF2 || GsdId: DAP 69	
 SCALANCE XF204 V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2AF2 || GsdId: DAP 81	
 SCALANCE XF204 V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2AF2 || GsdId: DAP 99	
 SCALANCE XF204 V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2AF2 || GsdId: DAP AA	
 SCALANCE XF204 V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2AF2 || GsdId: DAP BB	
 SCALANCE XF204-2 V4.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BC00-2AF2 || GsdId: DAP 37	
 SCALANCE XF204-2 V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BC00-2AF2 || GsdId: DAP 44	
 SCALANCE XF204-2 V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BC00-2AF2 || GsdId: DAP 6A	
 SCALANCE XF204-2 V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BC00-2AF2 || GsdId: DAP 82	
 SCALANCE XF204-2 V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BC00-2AF2 || GsdId: DAP 9A	
 SCALANCE XF204-2 V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BC00-2AF2 || GsdId: DAP AB	
 SCALANCE XF204-2 V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-2BC00-2AF2 || GsdId: DAP BC	
 SCALANCE XF204IRT V4.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BF2 || GsdId: DAP 34	
 SCALANCE XF204IRT V4.3 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BF2 || GsdId: DAP 4D	
 SCALANCE XF204IRT V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BF2 || GsdId: DAP 5D	
 SCALANCE XF204IRT V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BF2 || GsdId: DAP 75	
 SCALANCE XF204IRT V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BF2 || GsdId: DAP 8D	
 SCALANCE XF204IRT V5.3 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BF2 || GsdId: DAP C9	
 SCALANCE XF204IRT V5.4 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 204-0BA00-2BF2 || GsdId: DAP D2	
 SCALANCE XF206-1 V4.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC00-2AF2 || GsdId: DAP 36	
 SCALANCE XF206-1 V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC00-2AF2 || GsdId: DAP 43	
 SCALANCE XF206-1 V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC00-2AF2 || GsdId: DAP 6B	
 SCALANCE XF206-1 V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC00-2AF2 || GsdId: DAP 83	
 SCALANCE XF206-1 V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC00-2AF2 || GsdId: DAP 9B	
 SCALANCE XF206-1 V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC00-2AF2 || GsdId: DAP AC	
 SCALANCE XF206-1 V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 206-1BC00-2AF2 || GsdId: DAP BD	
 SCALANCE XF208 V4.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA00-2AF2 || GsdId: DAP 35	
 SCALANCE XF208 V4.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA00-2AF2 || GsdId: DAP 42	
 SCALANCE XF208 V4.5 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA00-2AF2 || GsdId: DAP 6C	
 SCALANCE XF208 V5.0 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA00-2AF2 || GsdId: DAP 84	
 SCALANCE XF208 V5.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA00-2AF2 || GsdId: DAP 9C	
 SCALANCE XF208 V5.1.1 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA00-2AF2 || GsdId: DAP AD	
 SCALANCE XF208 V5.2 || GsdFileName: GSDML-V2.33-SIEMENS-002A-SCALANCE_X200-20170328-103700.XML || OrderNumber: 6GK5 208-0BA00-2AF2 || GsdId: DAP BE	

**SMModule 
 1 COUNT 24V counter operation V2.0 || GsdFileName: GSDML-V2.25-SIEMENS-ET200S-20191007.XML || OrderNumber: 6ES7 138-4DA04-0AB0 C || GsdId: 236	
 1 COUNT 24V Fast Mode V2.0 || GsdFileName: GSDML-V2.25-SIEMENS-ET200S-20191007.XML || OrderNumber: 6ES7 138-4DA04-0AB0 F || GsdId: 239	
 1 COUNT 24V measurement operation V2.0 || GsdFileName: GSDML-V2.25-SIEMENS-ET200S-20191007.XML || OrderNumber: 6ES7 138-4DA04-0AB0 M || GsdId: 237	
 1 COUNT 24V position feedback V2.0 || GsdFileName: GSDML-V2.25-SIEMENS-ET200S-20191007.XML || OrderNumber: 6ES7 138-4DA04-0AB0 W || GsdId: 238	
 1 COUNT 24V/100 kHz C || GsdFileName: GSDML-V2.25-SIEMENS-ET200S-20191007.XML || OrderNumber: 6ES7 138-4DA00-0AB0 C || GsdId: 98	
 1 COUNT 24V/100 kHz C || GsdFileName: GSDML-V2.25-SIEMENS-ET200S-20191007.XML || OrderNumber: 6ES7 138-4DA01-0AB0 C || GsdId: 100	
 1 COUNT 24V/100 kHz C || GsdFileName: GSDML-V2.25-SIEMENS-ET200S-20191007.XML || OrderNumber: 6ES7 138-4DA02-0AB0 C || GsdId: 102	
